day,collections
2016-08-09,1908
2016-08-10,1909
2016-08-11,1879
2016-08-12,1880
2016-08-13,1880
2016-08-14,1880
2016-08-15,1880
2016-08-16,1881
2016-08-17,1883
2016-08-18,1884
2016-08-19,1885
2016-08-20,1885
2016-08-21,1886
2016-08-22,1886
2016-08-23,1886
2016-08-24,1892
2016-08-25,1892
2016-08-26,1890
2016-08-27,1895
2016-08-28,1895
2016-08-29,1895
2016-08-30,1898
2016-08-31,1898
2016-09-01,1899
2016-09-02,1899
2016-09-03,1901
2016-09-04,1901
2016-09-05,1901
2016-09-06,1904
2016-09-07,1906
2016-09-08,1910
2016-09-09,1912
2016-09-10,1917
2016-09-11,1917
2016-09-12,1917
2016-09-13,1917
2016-09-14,1918
2016-09-15,1918
2016-09-16,1918
2016-09-17,1907
2016-09-18,1897
2016-09-19,1898
2016-09-20,1897
2016-09-21,1897
2016-09-22,1902
2016-09-23,1903
2016-09-24,1907
2016-09-25,1707
2016-09-26,1705
2016-09-27,1908
2016-09-28,1915
2016-09-29,1918
2016-09-30,1920
2016-10-01,1928
2016-10-02,1922
2016-10-03,1922
2016-10-04,1922
2016-10-05,1928
2016-10-06,1932
2016-10-07,1933
2016-10-08,1778
2016-10-09,1768
2016-10-10,1769
2016-10-11,1772
2016-10-12,1777
2016-10-13,1780
2016-10-14,1784
2016-10-15,1787
2016-10-16,1787
2016-10-17,1796
2016-10-18,1855
2016-10-19,1872
2016-10-20,1885
2016-10-21,1896
2016-10-22,1893
2016-10-23,1894
2016-10-24,1898
2016-10-25,1912
2016-10-26,1918
2016-10-27,1928
2016-10-28,1930
2016-10-29,1941
2016-10-30,1928
2016-10-31,1930
2016-11-01,1931
2016-11-02,1931
2016-11-03,1935
2016-11-04,1937
2016-11-05,1940
2016-11-06,1940
2016-11-07,1940
2016-11-08,1947
2016-11-09,1948
2016-11-10,1950
2016-11-11,1950
2016-11-12,1952
2016-11-13,1951
2016-11-14,1950
2016-11-15,1950
2016-11-16,1951
2016-11-17,1951
2016-11-18,1946
2016-11-19,1947
2016-11-20,1947
2016-11-21,1946
2016-11-22,1947
2016-11-23,1945
2016-11-24,1942
2016-11-25,1943
2016-11-26,1944
2016-11-27,1941
2016-11-28,1941
2016-11-29,1941
2016-11-30,1941
2016-12-01,1939
2016-12-02,1939
2016-12-03,1939
2016-12-04,1940
2016-12-05,1940
2016-12-06,1937
2016-12-07,1937
2016-12-08,1936
2016-12-09,1933
2016-12-10,1930
2016-12-11,1930
2016-12-12,1930
2016-12-13,1930
2016-12-14,1926
2016-12-15,1904
2016-12-16,1904
2016-12-17,1905
2016-12-18,1905
2016-12-19,1905
2016-12-20,1906
2016-12-21,1906
2016-12-22,1907
2016-12-23,1907
2016-12-24,1907
2016-12-25,1907
2016-12-26,1907
2016-12-27,1907
2016-12-28,1907
2016-12-29,1907
2016-12-30,1907
2016-12-31,1907
2017-01-01,1905
2017-01-02,1905
2017-01-03,1906
2017-01-04,1906
2017-01-05,1906
2017-01-06,1905
2017-01-07,1905
2017-01-08,1903
2017-01-09,1903
2017-01-10,1895
2017-01-11,1899
2017-01-12,1898
2017-01-13,1900
2017-01-14,1899
2017-01-15,1899
2017-01-16,1899
2017-01-17,1899
2017-01-18,1899
2017-01-19,1899
2017-01-20,1900
2017-01-21,1900
2017-01-22,1900
2017-01-23,1900
2017-01-24,1900
2017-01-25,1900
2017-01-26,1899
2017-01-27,1900
2017-01-28,1900
2017-01-29,1901
2017-01-30,1901
2017-01-31,1901
2017-02-01,1904
2017-02-02,1905
2017-02-03,1905
2017-02-04,1905
2017-02-05,1905
2017-02-06,1905
2017-02-07,1906
2017-02-08,1906
2017-02-09,1906
2017-02-10,1906
2017-02-11,1906
2017-02-12,1904
2017-02-13,1904
2017-02-14,1904
2017-02-15,1904
2017-02-16,1905
2017-02-17,1905
2017-02-18,1822
2017-02-19,1822
2017-02-20,1822
2017-02-21,1822
2017-02-22,1824
2017-02-23,1825
2017-02-24,1825
2017-02-25,1825
2017-02-26,1825
2017-02-27,1826
2017-02-28,1826
2017-03-01,1825
2017-03-02,1826
2017-03-03,1825
2017-03-04,1824
2017-03-05,1823
2017-03-06,1823
2017-03-07,1828
2017-03-08,1827
2017-03-09,1832
2017-03-10,1832
2017-03-11,1833
2017-03-12,1826
2017-03-13,1827
2017-03-14,1831
2017-03-15,1830
2017-03-16,1829
2017-03-17,1833
2017-03-18,1834
2017-03-19,1834
2017-03-20,1834
2017-03-21,1838
2017-03-22,1843
2017-03-23,1848
2017-03-24,1850
2017-03-25,1850
2017-03-26,1850
2017-03-27,1850
2017-03-28,1854
2017-03-29,1856
2017-03-30,1859
2017-03-31,1861
2017-04-01,1865
2017-04-02,1864
2017-04-03,1864
2017-04-04,1869
2017-04-05,1877
2017-04-06,1880
2017-04-07,1885
2017-04-08,1743
2017-04-09,1738
2017-04-10,1738
2017-04-11,1739
2017-04-12,1740
2017-04-13,1759
2017-04-14,1762
2017-04-15,1763
2017-04-16,1761
2017-04-17,1760
2017-04-18,1763
2017-04-19,1790
2017-04-20,1809
2017-04-21,1826
2017-04-22,1827
2017-04-23,1827
2017-04-24,1830
2017-04-25,1855
2017-04-26,1864
2017-04-27,1869
2017-04-28,1871
2017-04-29,1871
2017-04-30,1865
2017-05-01,1865
2017-05-02,1867
